# mirror design exported by jaxmirror
# angle of incidence: 0 deg
# phase convention sign: +1
# incident medium: Air (n=1)
# layer 1: main/MgF2/Franta, thickness 20 nm
# substrate: main/Al/Rakic
# columns: wavelength_nm, R_s, R_p, phase_s_rad, phase_p_rad, GDD_s_fs2, GDD_p_fs2
5.000000000000000711e+01,9.106606002711031822e-02,9.106606002711031822e-02,-1.026816388931901525e+00,2.114776264657891591e+00,-6.072780031036970755e-02,-6.072780031036970755e-02
5.059500000000000597e+01,1.043111573971337303e-01,1.043111573971337303e-01,-1.071285423221987054e+00,2.070307230367806284e+00,-1.095180474985623098e-01,-1.095180474985623098e-01
5.119000000000000483e+01,1.192258656336553646e-01,1.192258656336553646e-01,-1.134291800403867345e+00,2.007300853185925771e+00,-9.445459870978248351e-02,-9.445459870978248351e-02
5.178500000000000369e+01,1.329089593962880234e-01,1.329089593962879678e-01,-1.212755009759908464e+00,1.928837643829884874e+00,-5.709691282900444115e-02,-5.709691282900440645e-02
5.238000000000000256e+01,1.428362900168750060e-01,1.428362900168750060e-01,-1.298916651451882842e+00,1.842676002137910274e+00,-8.460100508138420142e-03,-8.460100508138420142e-03
5.297500000000000142e+01,1.475922360890116747e-01,1.475922360890116747e-01,-1.384175567331016543e+00,1.757417086258776795e+00,4.950655701794402785e-02,4.950655701794402785e-02
5.357000000000000028e+01,1.474685330458450627e-01,1.474685330458450072e-01,-1.459941888790792675e+00,1.681650764799000664e+00,9.523887762008843849e-02,9.523887762008846625e-02
5.416499999999999915e+01,1.447403149921345222e-01,1.447403149921345222e-01,-1.520102244135140390e+00,1.621490409454652726e+00,1.018140971965357383e-01,1.018140971965357383e-01
5.476000000000000512e+01,1.425308480068808725e-01,1.425308480068808725e-01,-1.565213336005953026e+00,1.576379317583840312e+00,4.727635014996132284e-02,4.727635014996132284e-02
5.535500000000000398e+01,1.427046508838014371e-01,1.427046508838014371e-01,-1.603058687070106902e+00,1.538533966519686436e+00,-2.143861921446857735e-02,-2.143861921446857735e-02
5.595000000000000995e+01,1.448762736984492705e-01,1.448762736984492705e-01,-1.642524135806516350e+00,1.499068517783276988e+00,-5.338634139341621315e-02,-5.338634139341621315e-02
5.654500000000000881e+01,1.472570829326266817e-01,1.472570829326266817e-01,-1.687406567279412961e+00,1.454186086310380155e+00,-3.414163880999498274e-02,-3.414163880999498968e-02
5.714000000000000767e+01,1.481794786105918860e-01,1.481794786105918860e-01,-1.735718720696454165e+00,1.405873932893338951e+00,3.291196825874663501e-03,3.291196825874663501e-03
5.773500000000000654e+01,1.470891639699409281e-01,1.470891639699409281e-01,-1.782866412476774354e+00,1.358726241113018762e+00,3.830820337429385186e-02,3.830820337429385186e-02
5.833000000000000540e+01,1.445763639804368006e-01,1.445763639804367728e-01,-1.825104522618501646e+00,1.316488130971291470e+00,4.944400523101310369e-02,4.944400523101312450e-02
5.892500000000000426e+01,1.416915744780328779e-01,1.416915744780328779e-01,-1.861399428006813572e+00,1.280193225582979766e+00,3.875196328962583758e-02,3.875196328962583758e-02
5.952000000000000313e+01,1.391877934866811439e-01,1.391877934866811439e-01,-1.893199762331877922e+00,1.248392891257915416e+00,1.367984298396399644e-02,1.367984298396399644e-02
