# mirror design exported by jaxmirror
# angle of incidence: 45 deg
# phase convention sign: +1
# incident medium: Air (n=1)
# layer 1: main/Si/Franta-20C, thickness 100000 nm
# substrate: main/Si/Franta-20C
# tabulated-data smoothing: sigma = 0.5 nm
# columns: wavelength_nm, R_s, R_p, phase_s_rad, phase_p_rad, GDD_s_fs2, GDD_p_fs2
5.000000000000000711e+01,1.930852892699475576e-01,3.728192893245931006e-02,-4.341224773661260250e-01,-8.682449547322522720e-01,-1.524866557104797085e-02,-3.049733125129906047e-02
5.059500000000000597e+01,2.117050418963700442e-01,4.481902476434370536e-02,-4.601409114162954284e-01,-9.202818228325914118e-01,-1.606137812391808875e-02,-3.212275600879680587e-02
5.119000000000000483e+01,2.311700759342583678e-01,5.343960400745077777e-02,-4.885911148699647044e-01,-9.771822297399297419e-01,-1.648510568067072107e-02,-3.297021133986958313e-02
5.178500000000000369e+01,2.513226464538044214e-01,6.316307262054396410e-02,-5.193606415060868509e-01,-1.038721283012173924e+00,-1.637070432350781410e-02,-3.274140852795251466e-02
5.238000000000000256e+01,2.719588211834564895e-01,7.396160041949519093e-02,-5.522499582705340249e-01,-1.104499916541068050e+00,-1.564014524551411364e-02,-3.128029049998602013e-02
5.297500000000000142e+01,2.928470571396757927e-01,8.575939887536844497e-02,-5.869742036137745034e-01,-1.173948407227549895e+00,-1.432724575810610627e-02,-2.865449144102303128e-02
5.357000000000000028e+01,3.137553779155938805e-01,9.844243717095721435e-02,-6.231827335245437860e-01,-1.246365467049087350e+00,-1.257849620639528258e-02,-2.515699233983509017e-02
5.416499999999999915e+01,3.344796573535590012e-01,1.118766411833543029e-01,-6.604922809100731707e-01,-1.320984561820146563e+00,-1.060793981823877907e-02,-2.121587971037716680e-02
5.476000000000000512e+01,3.548647382547676088e-01,1.259289824566245108e-01,-6.985240165748585195e-01,-1.397048033149717483e+00,-8.630593974957443543e-03,-1.726118791010078715e-02
5.535500000000000398e+01,3.748135720475943566e-01,1.404852137910770626e-01,-7.369342725002669958e-01,-1.473868545000534880e+00,-6.809338030208458847e-03,-1.361867599451493591e-02
5.595000000000000995e+01,3.942847014835107466e-01,1.554604258239409009e-01,-7.754329480564100541e-01,-1.550865896112820330e+00,-5.234046893916697619e-03,-1.046809378716058100e-02
5.654500000000000881e+01,4.132819957838698155e-01,1.708020080390982298e-01,-8.137892014999850154e-01,-1.627578402999970031e+00,-3.928991853771005884e-03,-7.857983712342904090e-03
5.714000000000000767e+01,4.318413430730437819e-01,1.864869455871303316e-01,-8.518277362097909089e-01,-1.703655472419582262e+00,-2.873660427086764495e-03,-5.747320870211335489e-03
5.773500000000000654e+01,4.500178457184725866e-01,2.025160614650951540e-01,-8.894199867276740834e-01,-1.778839973455348167e+00,-2.024166433378946431e-03,-4.048332807370294724e-03
5.833000000000000540e+01,4.678753660111616974e-01,2.189073581200783880e-01,-9.264737191442892206e-01,-1.852947438288579107e+00,-1.329111446429692266e-03,-2.658222925157869166e-03
5.892500000000000426e+01,4.854789270097739085e-01,2.356897885705614704e-01,-9.629232110739021078e-01,-1.925846422147803771e+00,-7.389973389197042851e-04,-1.477994693121575595e-03
5.952000000000000313e+01,5.028644652202300946e-01,2.528726703812280152e-01,-9.987161592565727553e-01,-1.997432318513145733e+00,5.303548366683136488e-04,1.060709716896575698e-03
6.011500000000000909e+01,5.197492618236565498e-01,2.701392951662356934e-01,-1.033746734188212946e+00,-2.067493468376426780e+00,2.324403675054573931e-03,4.648807357914210882e-03
6.071000000000000796e+01,5.356912222857955763e-01,2.869650856340499323e-01,-1.067870367878257953e+00,-2.135740735756516351e+00,4.087499912280517268e-03,8.174999856766663325e-03
6.130500000000000682e+01,5.503353835317499332e-01,3.028690343670379925e-01,-1.100959431269977307e+00,-2.201918862539955057e+00,5.671255304863426216e-03,1.134251062635024433e-02
6.190000000000000568e+01,5.634143079627088602e-01,3.174356824170976865e-01,-1.132915568831100339e+00,-2.265831137662201122e+00,6.967270872606175919e-03,1.393454174675995416e-02
6.249500000000000455e+01,5.747398975239272900e-01,3.303259498058151444e-01,-1.163675736310779252e+00,-2.327351472621558504e+00,7.900977781009651049e-03,1.580195554924610987e-02
6.309000000000000341e+01,5.841930833907704734e-01,3.412815586816157487e-01,-1.193214246359111774e+00,-2.386428492718224437e+00,8.422385818679016187e-03,1.684477163183558876e-02
6.368500000000000227e+01,5.917127604947349795e-01,3.501239909322997335e-01,-1.221542256093380852e+00,-2.443084512186762147e+00,8.496880229350153510e-03,1.699376045817392947e-02
6.428000000000000114e+01,5.972850246828211862e-01,3.567494007103583775e-01,-1.248705865479049049e+00,-2.497411730958098541e+00,8.097596721381777538e-03,1.619519344249245596e-02
6.487500000000000000e+01,6.009334187477214373e-01,3.611209737678240939e-01,-1.274783655007042604e+00,-2.549567310014085653e+00,7.199872777752780104e-03,1.439974555561143559e-02
6.546999999999999886e+01,6.027737900127920767e-01,3.633362419263857501e-01,-1.299878225738439363e+00,-2.599756451476879171e+00,6.592613498795846412e-03,1.318522699754152289e-02
6.606499999999999773e+01,6.033039665083902436e-01,3.639756760047564987e-01,-1.324073240851927569e+00,-2.648146481703855137e+00,6.199311581833512677e-03,1.239862316420107038e-02
6.665999999999999659e+01,6.030762057897419703e-01,3.637009099897511311e-01,-1.347429725923083410e+00,-2.694859451846167264e+00,6.051698223780902983e-03,1.210339644755156589e-02
6.725499999999999545e+01,6.025388637811169845e-01,3.630530823666393014e-01,-1.369989673602153735e+00,-2.739979347204307469e+00,6.217106961672258340e-03,1.243421392326346520e-02
6.785000000000000853e+01,6.020509536324489819e-01,3.624653507697416788e-01,-1.391773945218125252e+00,-2.783547890436251393e+00,6.717946179530517002e-03,1.343589236252599843e-02
6.844500000000000739e+01,6.018965526368672547e-01,3.622794600761453099e-01,-1.412783288058500064e+00,-2.825566576117000128e+00,7.547036288567811162e-03,1.509407257784851561e-02
6.904000000000000625e+01,6.022980330603612265e-01,3.627629206283796148e-01,-1.433001046158128178e+00,-2.866002092316256800e+00,8.678250894285239811e-03,1.735650178858686235e-02
6.963500000000000512e+01,6.034278765201963601e-01,3.641252021616734891e-01,-1.452396650035421510e+00,-2.904793300070843021e+00,1.007408470014267352e-02,2.014816940026922451e-02
7.023000000000000398e+01,6.054190391812365180e-01,3.665322130031319903e-01,-1.470929310787564726e+00,-2.941858621575129895e+00,1.169106661354998161e-02,2.338213322716189632e-02
7.082500000000000284e+01,6.083739121669028416e-01,3.701188170052627791e-01,-1.488551577956373384e+00,-2.977103155912746768e+00,1.322664731345063287e-02,2.645329462608794757e-02
7.142000000000000171e+01,6.123003428508042578e-01,3.749117098552127159e-01,-1.505250805850913975e+00,-3.010501611701828395e+00,1.119249103836338424e-02,2.238498207681546837e-02
7.201500000000000057e+01,6.169798265765515932e-01,3.806641064024319787e-01,-1.521138501073563409e+00,-3.042277002147127263e+00,8.964013342135594004e-03,1.792802668201546115e-02
7.261000000000001364e+01,6.221884329166134098e-01,3.871184460552317130e-01,-1.536350752906263439e+00,-3.072701505812526435e+00,6.572698921163715700e-03,1.314539784112500609e-02
